,begin_quarantine,full_quarantine,time_to_full_quarantine,strength_of_quarantine,length_of_full_quarantine,day_quit_quarantine,increase_rate_from_quit_quarantine,increase_before_drop,quarantine_enforcement
Lausanne,59.011156781006825,62.08324025590844,3.0720834749016213,81.18656629708212,23.944871079749426,86.02811133565787,0.912897493818951,5.852857142857147,37.058691493055555
Leeds,60.7025847728118,66.88478968396967,6.182204911157871,83.7280268915739,40.726657601316035,107.6114472852857,0.4020858137787446,0.2142857142857082,54.22134241522902
Lexington,57.63231862448059,64.93162431961699,7.2993056951363995,47.50631257664437,44.50486836901548,109.43649268863247,0.4391473857559541,-15.244285714285724,39.620375506172834
Lille,61.205580967094406,62.50796645096571,1.3023854838713043,95.92488990219123,29.639941106036815,92.14790755700253,1.6521206035227656,48.76999999999998,67.06737733333333
Liverpool,61.29902115738282,67.01925231627942,5.720231158896597,86.12387915986153,42.38790751407612,109.40715983035554,0.3986076752862622,0.16428571428569683,33.45526802721089
Liège,59.19836769887806,60.41980454149295,1.221436842614888,93.68170636566983,43.86914828945463,104.28895283094758,0.9918195488720188,24.769999999999996,86.25828305785124
London,59.733413489349566,65.61612801780646,5.882714528456889,101.79031971422015,31.486602363474987,97.10273038128145,0.29803579397734564,12.48714285714287,60.26090068359375
Los Angeles,58.52548692285685,63.281985559893094,4.756498637036249,82.2994808634716,33.71794110275231,96.99992666264541,0.20753521950201312,9.137142857142848,53.69415004591368
Louisville,60.289683859184905,67.19660308516018,6.9069192259752725,55.25753824991039,27.803344480538442,94.99994756569862,0.2598053319858867,1.1228571428571428,52.88843978052126
Lyon,61.478244026666914,62.61877816676889,1.1405341401019766,117.99480800737906,40.160559214523886,102.77933738129278,2.602682120852277,69.52428571428572,100.60962493749999
Madison,59.54989382909442,61.127119379943984,1.5772255508495685,153.52053879047787,79.23056165079572,140.3576810307397,-0.01855931667032208,74.11285714285714,49.261096484374995
Madrid,56.87962045630824,59.571565698683564,2.6919452423753203,106.3192940347677,36.0047900710321,95.57635576971566,0.2979605911338517,14.908571428571435,53.980086728395065
Malmö,58.67750437273612,59.88772577592636,1.2102214031902423,46.03388558755278,26.789992950917316,86.67771872684368,0.23842870962445734,5.964285714285708,52.150038957476
Manchester,60.690076445648415,66.45158303530417,5.761506589655752,89.17623738087926,31.34556550851481,97.79714854381898,0.19943881064176808,6.13857142857141,55.28598022892818
Manila,54.3097893814101,60.96671078273101,6.65692140132091,81.42178493711708,42.03335021461788,103.0000609973489,0.17272038244595175,-8.768571428571434,32.953387669010276
Mannheim,61.00424249734036,63.80276751985426,2.798525022513905,73.25042087123971,25.76576186293471,89.56852938278897,0.9879090457029209,67.97857142857143,132.52451479289942
Marseille,61.43456924542305,62.629855363012496,1.19528611758945,103.13726309209265,43.304855202598006,105.9347105656105,3.0713333061491324,60.437142857142874,82.83586165494863
Melbourne,61.912934153976,67.45432178602263,5.541387632046636,89.71524939955526,41.458762267412624,108.91308405343526,0.7306475744408885,12.364285714285714,50.77332671029148
Memphis,5.5,6.5,1.0,79.93,88.5,95.0,1.0,-29.477142857142866,387.512441636157
Mexico City,61.57968121631042,67.11056270507048,5.530881488760066,81.61965567527614,4.889632181873694,72.00019488694417,-0.10577542408290781,0.6957142857142742,52.47929599999998
Miami,61.113216420330794,66.15071400176105,5.037497581430256,68.11951321120559,30.849259866659153,96.9999738684202,0.3163914183519186,-1.828571428571422,31.494851222222227
Milwaukee,60.07608085232029,63.61954786882342,3.543467016503134,62.80118151279856,26.38046264379858,90.000010512622,0.2352909065072033,12.834285714285741,54.24731358024688
Minneapolis,59.96053340888541,63.973477233825065,4.012943824939647,63.47417998924544,28.026757159021585,92.00023439284665,0.14506806771602201,-6.09571428571428,50.55808917954816
Mito,79.30188134622863,87.97772554456178,8.67584419833315,55.75765266860605,25.02226414457921,112.99998968914099,1.6270398268315123,22.695714285714274,45.824031360000006
Modesto,5.5,6.5,1.0,77.565,88.5,95.0,1.0,-46.379999999999995,579.9967776290873
Monterey,58.18606580268591,64.06491135199904,5.8788455493131275,86.35151819763344,46.935064526861154,110.9999758788602,0.8201053293340873,6.237142857142857,37.75300741965973
Montreal,59.5649692501298,63.92425540807198,4.359286157942176,86.03353378817677,31.34485508386461,95.26911049193659,0.3702120341372084,6.534285714285701,59.5728609375
Murrieta,59.77646397798247,64.9863289348741,5.20986495689162,62.04719147654647,31.013717832120562,96.00004676699466,0.36617355379531363,-1.5857142857142748,51.32707568359375
Nagoya,80.73749920941884,86.94845235464359,6.210953145224749,54.35241361289593,21.475870892747054,108.42432324739065,0.9663094866004702,23.758571428571415,33.81865888429752
Naha,79.93519107349346,85.05850166826667,5.123310594773228,75.7237562199657,26.15657895158573,111.2150806198524,1.2951606798268893,39.6057142857143,62.09655325443785
Nashville,60.797677532302906,64.14980741871751,3.352129886414604,58.99968750785165,38.85018803043491,102.99999544915242,0.6410447167508898,12.622857142857157,44.38521530470914
New Haven,59.37817848338381,62.9932883244954,3.6151098411115963,78.98569563878891,42.84483652816126,105.83812485265666,0.5577894737266693,20.202857142857155,48.17583969713359
New Orleans,61.34984250192142,63.973260966950626,2.6234184650291974,77.32335055715835,33.02675291972391,97.00001388667454,0.21448524242594347,-2.251428571428576,57.23750769896194
New York City,58.61009046513777,63.06267714886829,4.4525866837305195,85.9376052362302,38.81894892610566,101.88162607497395,0.235731245139938,-0.6328571428571337,29.295723268698065
Newcastle upon Tyne,61.02289511740576,67.11125889339425,6.088363775988492,82.6619029666807,30.87115250729343,97.98241140068768,0.19889768568255706,0.4357142857142833,45.4652648888889
Nice,60.74447079129508,62.72408331152203,1.9796125202269557,110.45692614824628,35.915510956172746,98.63959426769478,1.498335032760279,57.592857142857156,89.85429166666667
Niigata,88.33963589303086,95.00000018952939,6.660364296498519,46.912898209964,-3.435079065639002e-08,95.0000001551786,1.0,15.741428571428557,0.0
Norfolk,5.5,6.5,1.0,67.485,88.5,95.0,1.0,-45.00714285714286,421.2840494129528
Nottingham,60.14831206782233,66.0293615333086,5.881049465486269,97.36645133024965,30.050471525224197,96.0798330585328,0.11334786258848058,14.637142857142848,48.63773600000001
Nuremberg,60.682874475216025,64.32672167510388,3.643847199887859,88.55067108403244,3.6732644648204484,67.99998613992433,0.8596433872881644,37.43857142857141,135.6208222222223
Okayama,82.37600960710844,88.11391278865713,5.7379031815487025,56.54408047277158,26.26944299764064,114.38335578629777,1.7040497879841447,35.062857142857155,36.509878698224846
Oklahoma City,62.206464025694736,65.69047670647794,3.4840126807832026,48.81102971416425,25.309522245579075,90.99999895205701,0.9430360310332605,22.20142857142858,82.426896
Omaha,60.504133366327586,64.40481684836935,3.9006834820417677,41.460598498205556,27.595201621067986,92.00001846943734,0.31929862468206244,2.6642857142857252,63.05542295918367
Orlando,60.83283811847704,66.2490844928039,5.416246374326857,69.2986864795858,30.750914478800055,96.99999897160396,0.4888442595112102,-0.7042857142857173,36.168591555555544
Osaka,77.92640006191041,84.56353413622634,6.6371340743159175,59.09055212116081,28.436553965235234,113.00008810146157,0.9838675680271167,15.954285714285703,31.61885850178358
Oslo,57.132104858880936,59.45072327702175,2.318618418140821,89.40283587272813,17.82810610678763,77.27882938380938,0.6902440035362069,16.855714285714285,58.93637654320985
Otsu,81.92851831507433,86.7213343761543,4.792816061079975,60.353481118481675,30.278680225101382,117.00001460125569,2.3926786790729215,40.49000000000001,47.23326056191468
